N_Pergunta,Pergunta,Recurso_WikiQA,Abstract_Recurso_WikiQA,Recurso_New,Abstract_Recurso_New
Q146,what causes heart disease,Cardiovascular_disease,"Cardiovascular disease (CVD) is a class of diseases that involve the heart or blood vessels. CVD includes coronary artery diseases (CAD) such as angina and myocardial infarction (commonly known as a heart attack). Other CVDs include stroke, heart failure, hypertensive heart disease, rheumatic heart disease, cardiomyopathy, abnormal heart rhythms, congenital heart disease, valvular heart disease, carditis, aortic aneurysms, peripheral artery disease, thromboembolic disease, and venous thrombosis. The underlying mechanisms vary depending on the disease. Coronary artery disease, stroke, and peripheral artery disease involve atherosclerosis. This may be caused by high blood pressure, smoking, diabetes mellitus, lack of exercise, obesity, high blood cholesterol, poor diet, excessive alcohol consumption, and poor sleep, among others. High blood pressure is estimated to account for approximately 13% of CVD deaths, while tobacco accounts for 9%, diabetes 6%, lack of exercise 6% and obesity 5%. Rheumatic heart disease may follow untreated strep throat. It is estimated that up to 90% of CVD may be preventable. Prevention of CVD involves improving risk factors through: healthy eating, exercise, avoidance of tobacco smoke and limiting alcohol intake. Treating risk factors, such as high blood pressure, blood lipids and diabetes is also beneficial. Treating people who have strep throat with antibiotics can decrease the risk of rheumatic heart disease. The use of aspirin in people, who are otherwise healthy, is of unclear benefit. Cardiovascular diseases are the leading cause of death worldwide except Africa. Together CVD resulted in 17.9 million deaths (32.1%) in 2015, up from 12.3 million (25.8%) in 1990. Deaths, at a given age, from CVD are more common and have been increasing in much of the developing world, while rates have declined in most of the developed world since the 1970s. Coronary artery disease and stroke account for 80% of CVD deaths in males and 75% of CVD deaths in females. Most cardiovascular disease affects older adults. In the United States 11% of people between 20 and 40 have CVD, while 37% between 40 and 60, 71% of people between 60 and 80, and 85% of people over 80 have CVD. The average age of death from coronary artery disease in the developed world is around 80 while it is around 68 in the developing world. Diagnosis of disease typically occurs seven to ten years earlier in men as compared to women.",Cardiovascular_disease,"Cardiovascular disease (CVD) is a class of diseases that involve the heart or blood vessels. CVD includes coronary artery diseases (CAD) such as angina and myocardial infarction (commonly known as a heart attack). Other CVDs include stroke, heart failure, hypertensive heart disease, rheumatic heart disease, cardiomyopathy, abnormal heart rhythms, congenital heart disease, valvular heart disease, carditis, aortic aneurysms, peripheral artery disease, thromboembolic disease, and venous thrombosis. The underlying mechanisms vary depending on the disease. Coronary artery disease, stroke, and peripheral artery disease involve atherosclerosis. This may be caused by high blood pressure, smoking, diabetes mellitus, lack of exercise, obesity, high blood cholesterol, poor diet, excessive alcohol consumption, and poor sleep, among others. High blood pressure is estimated to account for approximately 13% of CVD deaths, while tobacco accounts for 9%, diabetes 6%, lack of exercise 6% and obesity 5%. Rheumatic heart disease may follow untreated strep throat. It is estimated that up to 90% of CVD may be preventable. Prevention of CVD involves improving risk factors through: healthy eating, exercise, avoidance of tobacco smoke and limiting alcohol intake. Treating risk factors, such as high blood pressure, blood lipids and diabetes is also beneficial. Treating people who have strep throat with antibiotics can decrease the risk of rheumatic heart disease. The use of aspirin in people, who are otherwise healthy, is of unclear benefit. Cardiovascular diseases are the leading cause of death worldwide except Africa. Together CVD resulted in 17.9 million deaths (32.1%) in 2015, up from 12.3 million (25.8%) in 1990. Deaths, at a given age, from CVD are more common and have been increasing in much of the developing world, while rates have declined in most of the developed world since the 1970s. Coronary artery disease and stroke account for 80% of CVD deaths in males and 75% of CVD deaths in females. Most cardiovascular disease affects older adults. In the United States 11% of people between 20 and 40 have CVD, while 37% between 40 and 60, 71% of people between 60 and 80, and 85% of people over 80 have CVD. The average age of death from coronary artery disease in the developed world is around 80 while it is around 68 in the developing world. Diagnosis of disease typically occurs seven to ten years earlier in men as compared to women."
Q147,what countries did immigrants come from during the immigration,History_of_immigration_to_the_United_States,"The history of immigration to the United States details the movement of people to the United States, from the colonial era to the present. The United States experienced successive waves of immigration, particularly from Europe, and later from Asia and Latin America. Colonial era immigrants often paid the cost of transoceanic transportation by becoming indentured servants where the new employer paid the ship's captain. Starting in the late 19th century immigration was restricted from China and Japan. In the 1920s restrictive immigration quotas were imposed, although political refugees had special status. Numerical restrictions ended in 1965. In recent years the largest numbers have come from Asia and Central America. Attitudes towards new immigrants have cycled between favorable and hostile since the 1790s. Recent debates focus on the Southern border, and on the status of ""dreamers"" who have lived almost their entire life in the U.S. after being brought in without papers as children.",History_of_immigration_to_the_United_States,"The history of immigration to the United States details the movement of people to the United States, from the colonial era to the present. The United States experienced successive waves of immigration, particularly from Europe, and later from Asia and Latin America. Colonial era immigrants often paid the cost of transoceanic transportation by becoming indentured servants where the new employer paid the ship's captain. Starting in the late 19th century immigration was restricted from China and Japan. In the 1920s restrictive immigration quotas were imposed, although political refugees had special status. Numerical restrictions ended in 1965. In recent years the largest numbers have come from Asia and Central America. Attitudes towards new immigrants have cycled between favorable and hostile since the 1790s. Recent debates focus on the Southern border, and on the status of ""dreamers"" who have lived almost their entire life in the U.S. after being brought in without papers as children."
Q150,how many people live in atlanta georgia,Atlanta,"Atlanta (/ætˈlæntə/) is the capital and most populous city of the U.S. state of Georgia. With a 2020 census population of 498,715, it is the 38th most populous city in the United States. The city serves as the cultural and economic center of the Atlanta metropolitan area, home to more than six million people and the ninth-largest metropolitan area in the nation. Atlanta is the seat of Fulton County, the most populous county in Georgia. Situated among the foothills of the Appalachian Mountains, Atlanta features unique topography that includes rolling hills and the most dense urban tree coverage in the United States. Atlanta was originally founded as the terminus of a major state-sponsored railroad. With rapid expansion, however, it soon became the convergence point among multiple railroads, spurring its rapid growth. The city's name derives from that of the Western and Atlantic Railroad's local depot, signifying the town's growing reputation as a transportation hub. During the American Civil War, the city was almost entirely burned to the ground in General William T. Sherman's March to the Sea. However, the city rose from its ashes and quickly became a national center of commerce and the unofficial capital of the ""New South"". During the 1950s and 1960s, Atlanta became a major organizing center of the civil rights movement, with Martin Luther King Jr., Ralph David Abernathy, and many other locals playing major roles in the movement's leadership. During the modern era, Atlanta has attained international prominence as a major air transportation hub, with Hartsfield–Jackson Atlanta International Airport being the world's busiest airport by passenger traffic since 1998. With a gross domestic product (GDP) of $406 billion, Atlanta has the 10th largest economy in the U.S. and the 20th largest in the world. Atlanta's economy is considered diverse, with dominant sectors that include aerospace, transportation, logistics, film and television production, media operations, professional and business services, medical services, and information technology. Gentrification of Atlanta's neighborhoods, initially spurred by the 1996 Summer Olympics, has intensified in the 21st century with the growth of the Atlanta Beltline, altering the city's demographics, politics, aesthetic, and culture.",Atlanta,"Atlanta (/ætˈlæntə/) is the capital and most populous city of the U.S. state of Georgia. With a 2020 census population of 498,715, it is the 38th most populous city in the United States. The city serves as the cultural and economic center of the Atlanta metropolitan area, home to more than six million people and the ninth-largest metropolitan area in the nation. Atlanta is the seat of Fulton County, the most populous county in Georgia. Situated among the foothills of the Appalachian Mountains, Atlanta features unique topography that includes rolling hills and the most dense urban tree coverage in the United States. Atlanta was originally founded as the terminus of a major state-sponsored railroad. With rapid expansion, however, it soon became the convergence point among multiple railroads, spurring its rapid growth. The city's name derives from that of the Western and Atlantic Railroad's local depot, signifying the town's growing reputation as a transportation hub. During the American Civil War, the city was almost entirely burned to the ground in General William T. Sherman's March to the Sea. However, the city rose from its ashes and quickly became a national center of commerce and the unofficial capital of the ""New South"". During the 1950s and 1960s, Atlanta became a major organizing center of the civil rights movement, with Martin Luther King Jr., Ralph David Abernathy, and many other locals playing major roles in the movement's leadership. During the modern era, Atlanta has attained international prominence as a major air transportation hub, with Hartsfield–Jackson Atlanta International Airport being the world's busiest airport by passenger traffic since 1998. With a gross domestic product (GDP) of $406 billion, Atlanta has the 10th largest economy in the U.S. and the 20th largest in the world. Atlanta's economy is considered diverse, with dominant sectors that include aerospace, transportation, logistics, film and television production, media operations, professional and business services, medical services, and information technology. Gentrification of Atlanta's neighborhoods, initially spurred by the 1996 Summer Olympics, has intensified in the 21st century with the growth of the Atlanta Beltline, altering the city's demographics, politics, aesthetic, and culture."
Q159,what does it mean to be a commonwealth state,Commonwealth,"A commonwealth is a traditional English term for a political community founded for the common good. Historically it has sometimes been synonymous with ""republic"". The noun ""commonwealth"", meaning ""public welfare, general good or advantage"", dates from the 15th century. Originally a phrase (the common-wealth or the common wealth – echoed in the modern synonym ""public wealth"") it comes from the old meaning of ""wealth"", which is ""well-being"", and is itself a loose translation of the Latin res publica (republic). The term literally meant ""common well-being"". In the 17th century, the definition of ""commonwealth"" expanded from its original sense of ""public welfare"" or ""commonweal"" to mean ""a state in which the supreme power is vested in the people; a republic or democratic state"". The term evolved to become a title to a number of political entities. Three countries – Australia, The Bahamas, and Dominica – have the official title ""Commonwealth"", as do four U.S. states and two U.S. territories. Since the early 20th century, the term has been used to name some fraternal associations of states, most notably the Commonwealth of Nations, an organisation primarily of former territories of the British Empire. The organisation is not to be confused with the realms of the Commonwealth.",Commonwealth,"A commonwealth is a traditional English term for a political community founded for the common good. Historically it has sometimes been synonymous with ""republic"". The noun ""commonwealth"", meaning ""public welfare, general good or advantage"", dates from the 15th century. Originally a phrase (the common-wealth or the common wealth – echoed in the modern synonym ""public wealth"") it comes from the old meaning of ""wealth"", which is ""well-being"", and is itself a loose translation of the Latin res publica (republic). The term literally meant ""common well-being"". In the 17th century, the definition of ""commonwealth"" expanded from its original sense of ""public welfare"" or ""commonweal"" to mean ""a state in which the supreme power is vested in the people; a republic or democratic state"". The term evolved to become a title to a number of political entities. Three countries – Australia, The Bahamas, and Dominica – have the official title ""Commonwealth"", as do four U.S. states and two U.S. territories. Since the early 20th century, the term has been used to name some fraternal associations of states, most notably the Commonwealth of Nations, an organisation primarily of former territories of the British Empire. The organisation is not to be confused with the realms of the Commonwealth."
Q163,how long can you be in the supreme court,Supreme_Court_of_the_United_States,"The Supreme Court of the United States (SCOTUS) is the highest court in the federal judiciary of the United States of America. It has ultimate and largely discretionary appellate jurisdiction over all federal and state court cases that involve a point of federal law, and original jurisdiction over a narrow range of cases, specifically ""all Cases affecting Ambassadors, other public Ministers and Consuls, and those in which a State shall be Party."" The Court holds the power of judicial review, the ability to invalidate a statute for violating a provision of the Constitution. It is also able to strike down presidential directives for violating either the Constitution or statutory law. However, it may act only within the context of a case in an area of law over which it has jurisdiction. The Court may decide cases having political overtones but has ruled that it does not have power to decide non-justiciable political questions. Established by Article Three of the United States Constitution, the composition and procedures of the Supreme Court were initially established by the 1st Congress through the Judiciary Act of 1789. As later set by the Judiciary Act of 1869, the Court consists of the Chief Justice of the United States and eight associate justices. Each justice has lifetime tenure, meaning they remain on the Court until they resign, retire, die, or are removed from office. When a vacancy occurs, the president, with the advice and consent of the Senate, appoints a new justice. Each justice has a single vote in deciding the cases argued before the Court. When in majority, the chief justice decides who writes the opinion of the court; otherwise, the most senior justice in the majority assigns the task of writing the opinion. The Court meets in the Supreme Court Building in Washington, D.C. Its law enforcement arm is the Supreme Court Police.",Supreme_Court_of_the_United_States,"The Supreme Court of the United States (SCOTUS) is the highest court in the federal judiciary of the United States of America. It has ultimate and largely discretionary appellate jurisdiction over all federal and state court cases that involve a point of federal law, and original jurisdiction over a narrow range of cases, specifically ""all Cases affecting Ambassadors, other public Ministers and Consuls, and those in which a State shall be Party."" The Court holds the power of judicial review, the ability to invalidate a statute for violating a provision of the Constitution. It is also able to strike down presidential directives for violating either the Constitution or statutory law. However, it may act only within the context of a case in an area of law over which it has jurisdiction. The Court may decide cases having political overtones but has ruled that it does not have power to decide non-justiciable political questions. Established by Article Three of the United States Constitution, the composition and procedures of the Supreme Court were initially established by the 1st Congress through the Judiciary Act of 1789. As later set by the Judiciary Act of 1869, the Court consists of the Chief Justice of the United States and eight associate justices. Each justice has lifetime tenure, meaning they remain on the Court until they resign, retire, die, or are removed from office. When a vacancy occurs, the president, with the advice and consent of the Senate, appoints a new justice. Each justice has a single vote in deciding the cases argued before the Court. When in majority, the chief justice decides who writes the opinion of the court; otherwise, the most senior justice in the majority assigns the task of writing the opinion. The Court meets in the Supreme Court Building in Washington, D.C. Its law enforcement arm is the Supreme Court Police."
Q164,what county in texas is conroe located in,"Conroe,_Texas","Conroe is a city in and the county seat of Montgomery County, Texas, United States, at about 40 miles (64 km) north of Houston. It is a principal city in the Houston–The Woodlands–Sugar Land metropolitan area. As of 2019, the population was 91,079, up from 56,207 in 2010. According to the Census Bureau, Conroe was the fastest-growing large city in the United States between July 1, 2015, and July 1, 2016.","Conroe,_Texas","Conroe is a city in and the county seat of Montgomery County, Texas, United States, at about 40 miles (64 km) north of Houston. It is a principal city in the Houston–The Woodlands–Sugar Land metropolitan area. As of 2019, the population was 91,079, up from 56,207 in 2010. According to the Census Bureau, Conroe was the fastest-growing large city in the United States between July 1, 2015, and July 1, 2016."
Q165,what can sql 2005 do,Microsoft_SQL_Server,"Microsoft SQL Server is a relational database management system developed by Microsoft. As a database server, it is a software product with the primary function of storing and retrieving data as requested by other software applications—which may run either on the same computer or on another computer across a network (including the Internet). Microsoft markets at least a dozen different editions of Microsoft SQL Server, aimed at different audiences and for workloads ranging from small single-machine applications to large Internet-facing applications with many concurrent users.",Microsoft_SQL_Server,"Microsoft SQL Server is a relational database management system developed by Microsoft. As a database server, it is a software product with the primary function of storing and retrieving data as requested by other software applications—which may run either on the same computer or on another computer across a network (including the Internet). Microsoft markets at least a dozen different editions of Microsoft SQL Server, aimed at different audiences and for workloads ranging from small single-machine applications to large Internet-facing applications with many concurrent users."
Q167,how many people were killed in the oklahoma city bombing,Oklahoma_City_bombing,"The Oklahoma City bombing was a domestic terrorist truck bombing of the Alfred P. Murrah Federal Building in Oklahoma City, Oklahoma, United States, on Wednesday, April 19, 1995. Perpetrated by anti-government extremists Timothy McVeigh and Terry Nichols, the bombing happened at 9:02 am and killed at least 168 people, injured more than 680 others, and destroyed more than one-third of the building, which had to be demolished. The blast destroyed or damaged 324 other buildings within a 16-block radius, shattered glass in 258 nearby buildings, and destroyed or burned 86 cars, causing an estimated $652 million worth of damage. Local, state, federal, and worldwide agencies engaged in extensive rescue efforts in the wake of the bombing. The Federal Emergency Management Agency (FEMA) activated 11 of its Urban Search and Rescue Task Forces, consisting of 665 rescue workers who assisted in rescue and recovery operations. The Oklahoma City bombing remains the deadliest act of domestic terrorism in U.S. history. Within 90 minutes of the explosion, McVeigh was stopped by Oklahoma Highway Patrolman Charlie Hanger for driving without a license plate and arrested for illegal weapons possession. Forensic evidence quickly linked McVeigh and Nichols to the attack; Nichols was arrested, and within days, both were charged. Michael and Lori Fortier were later identified as accomplices. McVeigh, a veteran of the Gulf War and a sympathizer with the U.S. militia movement, had detonated a Ryder rental truck full of explosives he parked in front of the building. Nichols had assisted with the bomb's preparation. Motivated by his dislike for the U.S. federal government and unhappy about its handling of the Ruby Ridge incident in 1992 and the Waco siege in 1993, McVeigh timed his attack to coincide with the second anniversary of the fire that ended the siege at the Branch Davidian compound in Waco, Texas. The official FBI investigation, known as ""OKBOMB"", involved 28,000 interviews, 3.5 short tons (3,200 kg) of evidence and nearly one billion pieces of information. The bombers were tried and convicted in 1997. Sentenced to death, McVeigh was executed by lethal injection on June 11, 2001, at the U.S. federal penitentiary in Terre Haute, Indiana. Nichols was sentenced to life in prison in 2004. Michael and Lori Fortier testified against McVeigh and Nichols; Michael Fortier was sentenced to 12 years in prison for failing to warn the United States government, and Lori received immunity from prosecution in exchange for her testimony. In response to the bombing, the U.S. Congress passed the Antiterrorism and Effective Death Penalty Act of 1996, which tightened the standards for habeas corpus in the United States. It also passed legislation to increase the protection around federal buildings to deter future terrorist attacks. On April 19, 2000, the Oklahoma City National Memorial was dedicated on the site of the Murrah Federal Building, commemorating the victims of the bombing. Remembrance services are held every year on April 19, at the time of the explosion.",Oklahoma_City_bombing,"The Oklahoma City bombing was a domestic terrorist truck bombing of the Alfred P. Murrah Federal Building in Oklahoma City, Oklahoma, United States, on Wednesday, April 19, 1995. Perpetrated by anti-government extremists Timothy McVeigh and Terry Nichols, the bombing happened at 9:02 am and killed at least 168 people, injured more than 680 others, and destroyed more than one-third of the building, which had to be demolished. The blast destroyed or damaged 324 other buildings within a 16-block radius, shattered glass in 258 nearby buildings, and destroyed or burned 86 cars, causing an estimated $652 million worth of damage. Local, state, federal, and worldwide agencies engaged in extensive rescue efforts in the wake of the bombing. The Federal Emergency Management Agency (FEMA) activated 11 of its Urban Search and Rescue Task Forces, consisting of 665 rescue workers who assisted in rescue and recovery operations. The Oklahoma City bombing remains the deadliest act of domestic terrorism in U.S. history. Within 90 minutes of the explosion, McVeigh was stopped by Oklahoma Highway Patrolman Charlie Hanger for driving without a license plate and arrested for illegal weapons possession. Forensic evidence quickly linked McVeigh and Nichols to the attack; Nichols was arrested, and within days, both were charged. Michael and Lori Fortier were later identified as accomplices. McVeigh, a veteran of the Gulf War and a sympathizer with the U.S. militia movement, had detonated a Ryder rental truck full of explosives he parked in front of the building. Nichols had assisted with the bomb's preparation. Motivated by his dislike for the U.S. federal government and unhappy about its handling of the Ruby Ridge incident in 1992 and the Waco siege in 1993, McVeigh timed his attack to coincide with the second anniversary of the fire that ended the siege at the Branch Davidian compound in Waco, Texas. The official FBI investigation, known as ""OKBOMB"", involved 28,000 interviews, 3.5 short tons (3,200 kg) of evidence and nearly one billion pieces of information. The bombers were tried and convicted in 1997. Sentenced to death, McVeigh was executed by lethal injection on June 11, 2001, at the U.S. federal penitentiary in Terre Haute, Indiana. Nichols was sentenced to life in prison in 2004. Michael and Lori Fortier testified against McVeigh and Nichols; Michael Fortier was sentenced to 12 years in prison for failing to warn the United States government, and Lori received immunity from prosecution in exchange for her testimony. In response to the bombing, the U.S. Congress passed the Antiterrorism and Effective Death Penalty Act of 1996, which tightened the standards for habeas corpus in the United States. It also passed legislation to increase the protection around federal buildings to deter future terrorist attacks. On April 19, 2000, the Oklahoma City National Memorial was dedicated on the site of the Murrah Federal Building, commemorating the victims of the bombing. Remembrance services are held every year on April 19, at the time of the explosion."
Q172,What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?,ARIA_Music_Awards,"The Australian Recording Industry Association Music Awards (commonly known informally as ARIA Music Awards or ARIA Awards) is an annual series of awards nights celebrating the Australian music industry, put on by the Australian Recording Industry Association (ARIA). The event has been held annually since 1987 and encompasses the general genre-specific and popular awards (these are what is usually being referred to as ""the ARIA awards"") as well as Fine Arts Awards and Artisan Awards (held separately from 2004), Achievement Awards and ARIA Hall of Fame – the latter were held separately from 2005 to 2010 but returned to the general ceremony in 2011. For 2010, ARIA introduced public voted awards for the first time. Winning, or even being nominated for, an ARIA award results in a lot of media attention and publicity on an artist, and usually increases recording sales several-fold, as well as chart significance – in 2005, for example, after Ben Lee won three awards, his album Awake Is the New Sleep jumped from No. 31 to No. 5 in the ARIA Charts, its highest position. In October 1995 singer-songwriter Tina Arena became the first woman to win Album of the Year for Don't Ask (1994) and Song of the Year for ""Chains"". Before the ceremony the album had achieved 3× platinum (for shipment of 210,000 copies) and by year's end it was 8× platinum (560,000 copies) and had topped the end of year albums chart.",ARIA_Music_Awards,"The Australian Recording Industry Association Music Awards (commonly known informally as ARIA Music Awards or ARIA Awards) is an annual series of awards nights celebrating the Australian music industry, put on by the Australian Recording Industry Association (ARIA). The event has been held annually since 1987 and encompasses the general genre-specific and popular awards (these are what is usually being referred to as ""the ARIA awards"") as well as Fine Arts Awards and Artisan Awards (held separately from 2004), Achievement Awards and ARIA Hall of Fame – the latter were held separately from 2005 to 2010 but returned to the general ceremony in 2011. For 2010, ARIA introduced public voted awards for the first time. Winning, or even being nominated for, an ARIA award results in a lot of media attention and publicity on an artist, and usually increases recording sales several-fold, as well as chart significance – in 2005, for example, after Ben Lee won three awards, his album Awake Is the New Sleep jumped from No. 31 to No. 5 in the ARIA Charts, its highest position. In October 1995 singer-songwriter Tina Arena became the first woman to win Album of the Year for Don't Ask (1994) and Song of the Year for ""Chains"". Before the ceremony the album had achieved 3× platinum (for shipment of 210,000 copies) and by year's end it was 8× platinum (560,000 copies) and had topped the end of year albums chart."
Q178,how does a dredge work?,Dredging,"Dredging is the excavation of material from a water environment. Possible reasons for dredging include improving existing water features; reshaping land and water features to alter drainage, navigability, and commercial use; constructing dams, dikes, and other controls for streams and shorelines; and recovering valuable mineral deposits or marine life having commercial value. In all but a few situations the excavation is undertaken by a specialist floating plant, known as a dredger. Dredging is carried out in many different locations and for many different purposes, but the main objectives are usually to recover material of value or use, or to create a greater depth of water. Dredges have been classified as suction or mechanical. Dredging has significant environmental impacts: it can disturb marine sediments, leading to both short- and long-term water pollution, destroy important seabed ecosystems, and can release human-sourced toxins captured in the sediment.",Dredging,"Dredging is the excavation of material from a water environment. Possible reasons for dredging include improving existing water features; reshaping land and water features to alter drainage, navigability, and commercial use; constructing dams, dikes, and other controls for streams and shorelines; and recovering valuable mineral deposits or marine life having commercial value. In all but a few situations the excavation is undertaken by a specialist floating plant, known as a dredger. Dredging is carried out in many different locations and for many different purposes, but the main objectives are usually to recover material of value or use, or to create a greater depth of water. Dredges have been classified as suction or mechanical. Dredging has significant environmental impacts: it can disturb marine sediments, leading to both short- and long-term water pollution, destroy important seabed ecosystems, and can release human-sourced toxins captured in the sediment."
Q180,what did benedict arnold die,Benedict_arnold,,Benedict_Arnold,"Benedict Arnold (14 January 1741 [O.S. 3 January 1740] – 14 June 1801) was an American military officer who served during the Revolutionary War. He fought with distinction for the American Continental Army, rising to the rank of major general, before defecting to the British side of the conflict in 1780. General George Washington had given him his fullest trust and placed him in command of West Point, New York. Arnold planned to surrender the fort to British forces, but the plot was discovered in September 1780 and he fled to the British lines. Arnold received a commission as a brigadier general in the British Army, commanding the American Legion in the later part of the conflict. Arnold's name quickly became a byword in the United States for treason and betrayal because he led the British army in battle against the very men whom he had once commanded. Arnold was born in Connecticut and was a merchant operating ships on the Atlantic Ocean when the war began in 1775. He joined the growing army outside Boston and distinguished himself through acts of intelligence and bravery. His actions included the Capture of Fort Ticonderoga in 1775, defensive and delaying tactics at the Battle of Valcour Island on Lake Champlain in 1776 which allowed American forces time to prepare New York's defenses, the Battle of Ridgefield, Connecticut (after which he was promoted to major general), operations in relief of the Siege of Fort Stanwix, and key actions during the pivotal Battles of Saratoga in 1777, in which he suffered leg injuries that halted his combat career for several years. Arnold repeatedly claimed that he was passed over for promotion by the Continental Congress, while other officers obtained credit for some of his accomplishments. Others in his military and political circles brought charges against him of corruption or other malfeasance, but most often he was acquitted in formal inquiries. Congress investigated his accounts, however, and concluded that he was indebted to Congress, and he borrowed heavily to maintain a lavish lifestyle. Arnold mingled with Loyalist sympathizers in Philadelphia and married into one such family by wedding Peggy Shippen. She was a close friend of British major John André and kept in contact with him when he became head of the British espionage system in New York. Many historians point to her as facilitating Arnold's plans to switch sides; he opened secret negotiations with André, and Peggy relayed the messages. The British promised £20,000 for the capture of West Point, a major American stronghold; Washington greatly admired Arnold and gave him command of that fort in July 1780. His scheme was to surrender the fort to the British, but it was exposed in September 1780 when Patriot militia captured André carrying papers which revealed the plot. Arnold escaped; André was hanged. Arnold received a commission as a brigadier general in the British Army, an annual pension of £360, and a lump sum of over £6,000. He led British forces in the Raid of Richmond and nearby areas, and they burned much of New London, Connecticut, to the ground and slaughtered surrendering forces after the Battle of Groton Heights—just a few miles downriver from the town where he had grown up. In the winter of 1782, he and Peggy moved to London, England. He was well received by King George III and the Tories but frowned upon by the Whigs and most Army officers. In 1787, he moved to Canada to a merchant business with his sons Richard and Henry. He was extremely unpopular there and returned to London permanently in 1791, where he died ten years later."
Q181,how many world series did curt schilling have,Curt_Schilling,"Curtis Montague Schilling (born November 14, 1966) is an American former Major League Baseball right-handed pitcher and currently a commentator for BlazeTV. He helped lead the Philadelphia Phillies to a World Series appearance in 1993, and won championships in 2001 with the Arizona Diamondbacks and in 2004 and 2007 with the Boston Red Sox. Schilling retired with a career postseason record of 11–2, and his .846 postseason winning percentage is a major-league record among pitchers with at least ten decisions. He is a member of the 3,000 strikeout club and has the highest strikeout-to-walk ratio of any of its members. He is tied for third for the most 300-strikeout seasons. Of post 19th century pitchers, Schilling has the second highest JAWS of any pitcher not in the Hall of Fame (behind only Roger Clemens). After retiring, he founded Green Monster Games, which was renamed 38 Studios. The company released Kingdoms of Amalur: Reckoning in February 2012. Three months later, they laid off their entire staff amid severe financial troubles. As a radio-personality, Schilling was signed by the Howie Carr radio network to do a Saturday morning politics and sports show. An outspoken conservative, Schilling joined Breitbart in 2016.",Curt_Schilling,"Curtis Montague Schilling (born November 14, 1966) is an American former Major League Baseball right-handed pitcher and currently a commentator for BlazeTV. He helped lead the Philadelphia Phillies to a World Series appearance in 1993, and won championships in 2001 with the Arizona Diamondbacks and in 2004 and 2007 with the Boston Red Sox. Schilling retired with a career postseason record of 11–2, and his .846 postseason winning percentage is a major-league record among pitchers with at least ten decisions. He is a member of the 3,000 strikeout club and has the highest strikeout-to-walk ratio of any of its members. He is tied for third for the most 300-strikeout seasons. Of post 19th century pitchers, Schilling has the second highest JAWS of any pitcher not in the Hall of Fame (behind only Roger Clemens). After retiring, he founded Green Monster Games, which was renamed 38 Studios. The company released Kingdoms of Amalur: Reckoning in February 2012. Three months later, they laid off their entire staff amid severe financial troubles. As a radio-personality, Schilling was signed by the Howie Carr radio network to do a Saturday morning politics and sports show. An outspoken conservative, Schilling joined Breitbart in 2016."
Q185,how many ports are there in networking,Port_(computer_networking),"In computer networking, a port is a communication endpoint. At the software level, within an operating system, a port is a logical construct that identifies a specific process or a type of network service. A port is identified for each transport protocol and address combination by a 16-bit unsigned number, known as the port number. The most common transport protocols that use port numbers are the Transmission Control Protocol (TCP) and the User Datagram Protocol (UDP). A port number is always associated with an IP address of a host and the type of transport protocol used for communication. It completes the destination or origination network address of a message. Specific port numbers are reserved to identify specific services so that an arriving packet can be easily forwarded to a running application. For this purpose, port numbers lower than 1024 identify the historically most commonly used services and are called the well-known port numbers. Higher-numbered ports are available for general use by applications and are known as ephemeral ports. Ports provide a multiplexing service for multiple services or multiple communication sessions at one network address. In the client–server model of application architecture, multiple simultaneous communication sessions may be initiated for the same service.",Port_(computer_networking),"In computer networking, a port is a communication endpoint. At the software level, within an operating system, a port is a logical construct that identifies a specific process or a type of network service. A port is identified for each transport protocol and address combination by a 16-bit unsigned number, known as the port number. The most common transport protocols that use port numbers are the Transmission Control Protocol (TCP) and the User Datagram Protocol (UDP). A port number is always associated with an IP address of a host and the type of transport protocol used for communication. It completes the destination or origination network address of a message. Specific port numbers are reserved to identify specific services so that an arriving packet can be easily forwarded to a running application. For this purpose, port numbers lower than 1024 identify the historically most commonly used services and are called the well-known port numbers. Higher-numbered ports are available for general use by applications and are known as ephemeral ports. Ports provide a multiplexing service for multiple services or multiple communication sessions at one network address. In the client–server model of application architecture, multiple simultaneous communication sessions may be initiated for the same service."
Q188,what area code is 479,Area_code_479,"Area code 479 is a telephone area code in the North American Numbering Plan (NANP) for thirteen counties in the northwestern part of the U.S. state of Arkansas. The numbering plan area (NPA) includes the cities of Bentonville, Fort Smith, Fayetteville, Rogers, Siloam Springs and Springdale. It was created on January 19, 2002 in a split from area code 501.",Area_code_479,"Area code 479 is a telephone area code in the North American Numbering Plan (NANP) for thirteen counties in the northwestern part of the U.S. state of Arkansas. The numbering plan area (NPA) includes the cities of Bentonville, Fort Smith, Fayetteville, Rogers, Siloam Springs and Springdale. It was created on January 19, 2002 in a split from area code 501."
